Country,Estimated Deaths(UpperLimit),
Argentina,0
Australia,15000,
Belgium,,
Bolivia,,
Brazil,300000,
Bulgaria,,
Canada,50000,
China,1280000,
Colombia,,
Denmark,5000,
Finland,,
France,400000,
Germany,426600,
Ghana,100000,
India(British Republic),13880000,
Indonesia,1500000,
Iran,2431000,
Iraq,700000,
Italy,410000,
Japan,390000,
Korea,200000,
Mexico,230500,
New Zeland,8900,
Norway,15000,
Portugal,118065,
Spain,260000,
Sweeden ,34500,
Switzerland,25000,
UK,250000,
US,675000,
USSR,450000,
Vietnam,33000,