Round Number,Date,Location,Home Team,Away Team,Result
1,16/10/2018 20:00,TD Garden,Boston Celtics,Philadelphia 76ers,105 - 87
1,16/10/2018 22:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,108 - 100
1,17/10/2018 19:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,112 - 113
1,17/10/2018 19:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,103 - 100
1,17/10/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,111 - 83
1,17/10/2018 19:00,Amway Center,Orlando Magic,Miami Heat,104 - 101
1,17/10/2018 19:30,Madison Square Garden,New York Knicks,Atlanta Hawks,126 - 107
1,17/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,116 - 104
1,17/10/2018 20:00,Toyota Center,Houston Rockets,New Orleans Pelicans,112 - 131
1,17/10/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,112 - 108
1,17/10/2018 22:00,Golden 1 Center,Sacramento Kings,Utah Jazz,117 - 123
1,17/10/2018 22:30,Staples Center,LA Clippers,Denver Nuggets,98 - 107
1,17/10/2018 22:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,121 - 100
1,18/10/2018 20:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,127 - 108
1,18/10/2018 20:00,Capital One Arena,Washington Wizards,Miami Heat,112 - 113
1,18/10/2018 22:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,128 - 119
1,19/10/2018 19:00,Amway Center,Orlando Magic,Charlotte Hornets,88 - 120
1,19/10/2018 19:30,Barclays Center,Brooklyn Nets,New York Knicks,107 - 105
1,19/10/2018 20:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,113 - 101
1,19/10/2018 20:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,131 - 117
1,19/10/2018 20:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,131 - 123
1,19/10/2018 20:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,149 - 129
1,19/10/2018 20:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,118 - 101
1,19/10/2018 22:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,123 - 124
1,19/10/2018 22:30,Staples Center,LA Clippers,Oklahoma City Thunder,108 - 92
1,20/10/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,132 - 112
1,20/10/2018 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,113 - 117
1,20/10/2018 19:30,Madison Square Garden,New York Knicks,Boston Celtics,101 - 103
1,20/10/2018 19:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,116 - 115
1,20/10/2018 20:00,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,112 - 113
1,20/10/2018 20:00,United Center,Chicago Bulls,Detroit Pistons,116 - 118
1,20/10/2018 20:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,140 - 136
1,20/10/2018 21:00,Pepsi Center,Denver Nuggets,Phoenix Suns,119 - 91
1,20/10/2018 22:00,Moda Center,Portland Trail Blazers,San Antonio Spurs,121 - 108
1,20/10/2018 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,115 - 124
1,21/10/2018 18:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,111 - 133
1,21/10/2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,120 - 131
1,21/10/2018 20:00,Pepsi Center,Denver Nuggets,Golden State Warriors,100 - 98
1,21/10/2018 21:00,Staples Center,LA Clippers,Houston Rockets,115 - 112
1,22/10/2018 19:30,TD Garden,Boston Celtics,Orlando Magic,90 - 93
1,22/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,127 - 106
1,22/10/2018 20:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,124 - 113
1,22/10/2018 20:00,Target Center,Minnesota Timberwolves,Indiana Pacers,101 - 91
1,22/10/2018 20:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,115 - 109
1,22/10/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,84 - 92
1,22/10/2018 22:00,Moda Center,Portland Trail Blazers,Washington Wizards,124 - 125
1,22/10/2018 22:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,123 - 103
1,22/10/2018 22:30,Staples Center,Los Angeles Lakers,San Antonio Spurs,142 - 143
1,23/10/2018 19:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,133 - 132
1,23/10/2018 20:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,116 - 109
1,23/10/2018 21:00,Pepsi Center,Denver Nuggets,Sacramento Kings,126 - 112
1,24/10/2018 19:00,State Farm Arena,Atlanta Hawks,Dallas Mavericks,111 - 104
1,24/10/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Brooklyn Nets,86 - 102
1,24/10/2018 19:30,AmericanAirlines Arena,Miami Heat,New York Knicks,110 - 87
1,24/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,112 - 105
1,24/10/2018 20:00,United Center,Chicago Bulls,Charlotte Hornets,112 - 110
1,24/10/2018 20:00,Toyota Center,Houston Rockets,Utah Jazz,89 - 100
1,24/10/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Indiana Pacers,96 - 116
1,24/10/2018 21:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,123 - 108
1,24/10/2018 22:00,Talking Stick Resort Arena,Phoenix Suns,Los Angeles Lakers,113 - 131
1,24/10/2018 22:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,97 - 92
1,24/10/2018 22:30,ORACLE Arena,Golden State Warriors,Washington Wizards,144 - 122
1,25/10/2018 19:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,110 - 103
1,25/10/2018 19:00,Amway Center,Orlando Magic,Portland Trail Blazers,114 - 128
2,25/10/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,95 - 101
2,25/10/2018 22:30,Staples Center,Los Angeles Lakers,Denver Nuggets,121 - 114
2,26/10/2018 19:00,Spectrum Center,Charlotte Hornets,Chicago Bulls,135 - 106
2,26/10/2018 19:30,Madison Square Garden,New York Knicks,Golden State Warriors,100 - 128
2,26/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,116 - 107
2,26/10/2018 20:00,Toyota Center,Houston Rockets,LA Clippers,113 - 133
2,26/10/2018 20:00,Target Center,Minnesota Timberwolves,Milwaukee Bucks,95 - 125
2,26/10/2018 20:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,117 - 115
2,26/10/2018 22:00,Golden 1 Center,Sacramento Kings,Washington Wizards,116 - 112
2,27/10/2018 19:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,89 - 109
2,27/10/2018 19:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,111 - 132
2,27/10/2018 19:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,85 - 97
2,27/10/2018 19:30,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,107 - 119
2,27/10/2018 19:30,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,105 - 103
2,27/10/2018 20:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,120 - 111
2,27/10/2018 20:00,FedExForum,Memphis Grizzlies,Phoenix Suns,117 - 96
2,27/10/2018 20:30,Fiserv Forum,Milwaukee Bucks,Orlando Magic,113 - 91
2,27/10/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Los Angeles Lakers,110 - 106
2,28/10/2018 17:00,Barclays Center,Brooklyn Nets,Golden State Warriors,114 - 120
2,28/10/2018 19:00,American Airlines Center,Dallas Mavericks,Utah Jazz,104 - 113
2,28/10/2018 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,117 - 110
2,28/10/2018 21:30,Staples Center,LA Clippers,Washington Wizards,136 - 104
2,29/10/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,93 - 103
2,29/10/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,113 - 92
2,29/10/2018 19:30,AmericanAirlines Arena,Miami Heat,Sacramento Kings,113 - 123
2,29/10/2018 19:30,Madison Square Garden,New York Knicks,Brooklyn Nets,115 - 96
2,29/10/2018 20:00,United Center,Chicago Bulls,Golden State Warriors,124 - 149
2,29/10/2018 20:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,124 - 109
2,29/10/2018 20:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,124 - 120
2,29/10/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,113 - 108
2,29/10/2018 21:00,Pepsi Center,Denver Nuggets,New Orleans Pelicans,116 - 111
2,30/10/2018 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,125 - 113
2,30/10/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Atlanta Hawks,136 - 114
2,30/10/2018 19:00,Amway Center,Orlando Magic,Sacramento Kings,99 - 107
2,30/10/2018 19:30,TD Garden,Boston Celtics,Detroit Pistons,108 - 105
2,30/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,129 - 112
2,30/10/2018 20:00,Toyota Center,Houston Rockets,Portland Trail Blazers,85 - 104
2,30/10/2018 20:00,FedExForum,Memphis Grizzlies,Washington Wizards,107 - 95
2,30/10/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,128 - 110
2,31/10/2018 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,120 - 119
2,31/10/2018 20:00,Madison Square Garden,New York Knicks,Indiana Pacers,101 - 107
2,31/10/2018 20:00,United Center,Chicago Bulls,Denver Nuggets,107 - 108
2,31/10/2018 20:00,Target Center,Minnesota Timberwolves,Utah Jazz,128 - 125
2,31/10/2018 22:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,131 - 121
2,31/10/2018 22:30,Staples Center,Los Angeles Lakers,Dallas Mavericks,114 - 113
2,31/10/2018 22:30,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,90 - 120
2,01/11/2018 19:00,Spectrum Center,Charlotte Hornets,Oklahoma City Thunder,107 - 111
2,01/11/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Denver Nuggets,91 - 110
2,01/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,122 - 113
2,01/11/2018 19:30,State Farm Arena,Atlanta Hawks,Sacramento Kings,115 - 146
3,01/11/2018 20:00,TD Garden,Boston Celtics,Milwaukee Bucks,117 - 113
3,01/11/2018 22:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,132 - 119
3,02/11/2018 19:00,Amway Center,Orlando Magic,LA Clippers,95 - 120
3,02/11/2018 19:30,Barclays Center,Brooklyn Nets,Houston Rockets,111 - 119
3,02/11/2018 20:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,111 - 134
3,02/11/2018 20:00,United Center,Chicago Bulls,Indiana Pacers,105 - 107
3,02/11/2018 20:30,American Airlines Center,Dallas Mavericks,New York Knicks,106 - 118
3,02/11/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,100 - 110
3,02/11/2018 22:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,98 - 107
3,02/11/2018 22:30,ORACLE Arena,Golden State Warriors,Minnesota Timberwolves,116 - 99
3,03/11/2018 13:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,109 - 99
3,03/11/2018 19:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,126 - 94
3,03/11/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,102 - 101
3,03/11/2018 19:30,State Farm Arena,Atlanta Hawks,Miami Heat,123 - 118
3,03/11/2018 20:00,United Center,Chicago Bulls,Houston Rockets,88 - 96
3,03/11/2018 20:30,AT+ACY-T Center,San Antonio Spurs,New Orleans Pelicans,109 - 95
3,03/11/2018 21:00,Pepsi Center,Denver Nuggets,Utah Jazz,103 - 88
3,03/11/2018 22:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,110 - 114
3,04/11/2018 15:30,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,144 - 109
3,04/11/2018 18:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,122 - 97
3,04/11/2018 18:00,Capital One Arena,Washington Wizards,New York Knicks,108 - 95
3,04/11/2018 19:00,AT+ACY-T Center,San Antonio Spurs,Orlando Magic,110 - 117
3,04/11/2018 20:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,102 - 100
3,04/11/2018 21:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,111 - 81
3,04/11/2018 21:30,Staples Center,Los Angeles Lakers,Toronto Raptors,107 - 121
3,05/11/2018 19:00,Little Caesars Arena,Detroit Pistons,Miami Heat,115 - 120
3,05/11/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,94 - 98
3,05/11/2018 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,102 - 100
3,05/11/2018 19:30,Madison Square Garden,New York Knicks,Chicago Bulls,115 - 116
3,05/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,New Orleans Pelicans,122 - 116
3,05/11/2018 21:00,Pepsi Center,Denver Nuggets,Boston Celtics,115 - 107
3,05/11/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,111 - 124
3,05/11/2018 22:30,ORACLE Arena,Golden State Warriors,Memphis Grizzlies,117 - 101
3,05/11/2018 22:30,Staples Center,LA Clippers,Minnesota Timberwolves,120 - 109
3,06/11/2018 19:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,113 - 102
3,06/11/2018 20:30,American Airlines Center,Dallas Mavericks,Washington Wizards,119 - 100
3,06/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Brooklyn Nets,82 - 104
3,06/11/2018 22:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,118 - 103
3,07/11/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Oklahoma City Thunder,86 - 95
3,07/11/2018 19:00,Amway Center,Orlando Magic,Detroit Pistons,96 - 103
3,07/11/2018 19:30,State Farm Arena,Atlanta Hawks,New York Knicks,107 - 112
3,07/11/2018 19:30,AmericanAirlines Arena,Miami Heat,San Antonio Spurs,95 - 88
3,07/11/2018 20:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,94 - 100
3,07/11/2018 20:00,FedExForum,Memphis Grizzlies,Denver Nuggets,89 - 87
3,07/11/2018 20:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,107 - 98
3,07/11/2018 21:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,117 - 102
3,07/11/2018 22:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,105 - 114
3,07/11/2018 22:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,114 - 110
4,08/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,98 - 80
4,08/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Boston Celtics,109 - 116
4,08/11/2018 22:00,Moda Center,Portland Trail Blazers,LA Clippers,116 - 105
4,08/11/2018 22:30,ORACLE Arena,Golden State Warriors,Milwaukee Bucks,111 - 134
4,09/11/2018 19:00,Amway Center,Orlando Magic,Washington Wizards,117 - 108
4,09/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Charlotte Hornets,133 - 132
4,09/11/2018 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,109 - 124
4,09/11/2018 20:00,AmericanAirlines Arena,Miami Heat,Indiana Pacers,102 - 110
4,09/11/2018 21:00,Pepsi Center,Denver Nuggets,Brooklyn Nets,110 - 112
4,09/11/2018 21:30,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,123 - 115
4,09/11/2018 22:00,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,121 - 110
4,10/11/2018 15:00,Scotiabank Arena,Toronto Raptors,New York Knicks,128 - 112
4,10/11/2018 15:30,Staples Center,LA Clippers,Milwaukee Bucks,128 - 126
4,10/11/2018 19:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,119 - 99
4,10/11/2018 20:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,110 - 116
4,10/11/2018 20:00,United Center,Chicago Bulls,Cleveland Cavaliers,99 - 98
4,10/11/2018 20:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,112 - 106
4,10/11/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Houston Rockets,96 - 89
4,10/11/2018 20:30,ORACLE Arena,Golden State Warriors,Brooklyn Nets,116 - 100
4,10/11/2018 21:00,American Airlines Center,Dallas Mavericks,Oklahoma City Thunder,111 - 96
4,10/11/2018 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,86 - 101
4,11/11/2018 15:30,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,103 - 113
4,11/11/2018 19:00,Toyota Center,Houston Rockets,Indiana Pacers,115 - 103
4,11/11/2018 19:30,Madison Square Garden,New York Knicks,Orlando Magic,89 - 115
4,11/11/2018 20:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,114 - 121
4,11/11/2018 21:00,Moda Center,Portland Trail Blazers,Boston Celtics,100 - 94
4,11/11/2018 21:30,Staples Center,Los Angeles Lakers,Atlanta Hawks,107 - 106
4,12/11/2018 19:00,Capital One Arena,Washington Wizards,Orlando Magic,117 - 109
4,12/11/2018 19:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,114 - 124
4,12/11/2018 19:30,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,110 - 126
4,12/11/2018 20:00,United Center,Chicago Bulls,Dallas Mavericks,98 - 103
4,12/11/2018 20:00,FedExForum,Memphis Grizzlies,Utah Jazz,88 - 96
4,12/11/2018 20:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,120 - 113
4,12/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,118 - 101
4,12/11/2018 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,104 - 99
4,12/11/2018 22:30,Staples Center,LA Clippers,Golden State Warriors,121 - 116
4,13/11/2018 19:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,113 - 89
4,13/11/2018 21:00,Pepsi Center,Denver Nuggets,Houston Rockets,99 - 109
4,13/11/2018 22:30,ORACLE Arena,Golden State Warriors,Atlanta Hawks,110 - 103
4,14/11/2018 19:00,Amway Center,Orlando Magic,Philadelphia 76ers,111 - 106
4,14/11/2018 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,119 - 95
4,14/11/2018 19:30,TD Garden,Boston Celtics,Chicago Bulls,111 - 82
4,14/11/2018 19:30,Barclays Center,Brooklyn Nets,Miami Heat,107 - 120
4,14/11/2018 19:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,104 - 106
4,14/11/2018 20:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,113 - 116
4,14/11/2018 20:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,107 - 100
4,14/11/2018 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,128 - 103
4,14/11/2018 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,118 - 68
4,14/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,San Antonio Spurs,116 - 96
4,14/11/2018 22:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,126 - 117
5,15/11/2018 20:00,Toyota Center,Houston Rockets,Golden State Warriors,107 - 86
5,15/11/2018 21:00,Pepsi Center,Denver Nuggets,Atlanta Hawks,138 - 93
5,15/11/2018 22:30,Staples Center,LA Clippers,San Antonio Spurs,116 - 111
5,16/11/2018 19:00,TD Garden,Boston Celtics,Toronto Raptors,123 - 116
5,16/11/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,99 - 91
5,16/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Utah Jazz,113 - 107
5,16/11/2018 19:00,Capital One Arena,Washington Wizards,Brooklyn Nets,104 - 115
5,16/11/2018 20:00,FedExForum,Memphis Grizzlies,Sacramento Kings,112 - 104
5,16/11/2018 20:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,112 - 96
5,16/11/2018 20:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,129 - 124
5,16/11/2018 21:30,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,123 - 104
5,17/11/2018 18:00,Barclays Center,Brooklyn Nets,LA Clippers,119 - 127
5,17/11/2018 19:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,119 - 122
5,17/11/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Atlanta Hawks,97 - 89
5,17/11/2018 19:00,Amway Center,Orlando Magic,Los Angeles Lakers,130 - 117
5,17/11/2018 19:00,Smoothie King Center,New Orleans Pelicans,Denver Nuggets,125 - 115
5,17/11/2018 19:30,TD Garden,Boston Celtics,Utah Jazz,86 - 98
5,17/11/2018 20:00,United Center,Chicago Bulls,Toronto Raptors,83 - 122
5,17/11/2018 20:00,Toyota Center,Houston Rockets,Sacramento Kings,132 - 112
5,17/11/2018 20:30,American Airlines Center,Dallas Mavericks,Golden State Warriors,112 - 109
5,17/11/2018 21:00,Talking Stick Resort Arena,Phoenix Suns,Oklahoma City Thunder,100 - 110
5,18/11/2018 15:30,Target Center,Minnesota Timberwolves,Memphis Grizzlies,87 - 100
5,18/11/2018 18:00,AmericanAirlines Arena,Miami Heat,Los Angeles Lakers,97 - 113
5,18/11/2018 18:00,Amway Center,Orlando Magic,New York Knicks,131 - 117
5,18/11/2018 18:00,Capital One Arena,Washington Wizards,Portland Trail Blazers,109 - 119
5,18/11/2018 19:00,AT+ACY-T Center,San Antonio Spurs,Golden State Warriors,104 - 92
5,19/11/2018 19:00,Spectrum Center,Charlotte Hornets,Boston Celtics,117 - 112
5,19/11/2018 19:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,113 - 102
5,19/11/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Utah Jazz,121 - 94
5,19/11/2018 19:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,119 - 114
5,19/11/2018 19:30,State Farm Arena,Atlanta Hawks,LA Clippers,119 - 127
5,19/11/2018 20:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,98 - 88
5,19/11/2018 20:00,Fiserv Forum,Milwaukee Bucks,Denver Nuggets,104 - 98
5,19/11/2018 20:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,140 - 126
5,19/11/2018 22:00,Golden 1 Center,Sacramento Kings,Oklahoma City Thunder,117 - 113
