Round Number,Date,Location,Home Team,Away Team,Result
20,08/03/2019 22:30,Staples Center,LA Clippers,Oklahoma City Thunder,118 - 110
20,09/03/2019 12:00,Madison Square Garden,New York Knicks,Sacramento Kings,94 - 102
20,09/03/2019 19:00,State Farm Arena,Atlanta Hawks,Brooklyn Nets,112 - 114
20,09/03/2019 20:00,Target Center,Minnesota Timberwolves,Washington Wizards,135 - 130
20,09/03/2019 20:30,Staples Center,Los Angeles Lakers,Boston Celtics,107 - 120
20,09/03/2019 21:00,Fiserv Forum,Milwaukee Bucks,Charlotte Hornets,131 - 114
20,09/03/2019 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,127 - 120
20,10/03/2019 12:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,131 - 108
20,10/03/2019 15:30,AmericanAirlines Arena,Miami Heat,Toronto Raptors,104 - 125
20,10/03/2019 15:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,106 - 89
20,10/03/2019 18:00,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,128 - 116
20,10/03/2019 18:00,FedExForum,Memphis Grizzlies,Orlando Magic,105 - 97
20,10/03/2019 19:00,American Airlines Center,Dallas Mavericks,Houston Rockets,93 - 94
20,10/03/2019 20:00,Target Center,Minnesota Timberwolves,New York Knicks,103 - 92
20,10/03/2019 20:00,AT+ACY-T Center,San Antonio Spurs,Milwaukee Bucks,121 - 114
20,10/03/2019 20:30,ORACLE Arena,Golden State Warriors,Phoenix Suns,111 - 115
20,11/03/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Toronto Raptors,126 - 101
20,11/03/2019 19:00,Capital One Arena,Washington Wizards,Sacramento Kings,121 - 115
20,11/03/2019 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,103 - 75
20,11/03/2019 20:00,Toyota Center,Houston Rockets,Charlotte Hornets,118 - 106
20,11/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Oklahoma City Thunder,89 - 98
20,11/03/2019 22:30,Staples Center,LA Clippers,Boston Celtics,140 - 115
20,12/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,New York Knicks,103 - 98
20,12/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,106 - 99
20,12/03/2019 20:00,United Center,Chicago Bulls,Los Angeles Lakers,107 - 123
20,12/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,113 - 130
20,12/03/2019 20:00,American Airlines Center,Dallas Mavericks,San Antonio Spurs,105 - 112
20,12/03/2019 22:30,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,133 - 107
20,12/03/2019 22:30,Staples Center,LA Clippers,Portland Trail Blazers,104 - 125
20,13/03/2019 19:00,Capital One Arena,Washington Wizards,Orlando Magic,100 - 90
20,13/03/2019 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,108 - 96
20,13/03/2019 19:30,AmericanAirlines Arena,Miami Heat,Detroit Pistons,108 - 74
20,13/03/2019 19:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,132 - 111
20,13/03/2019 21:30,Toyota Center,Houston Rockets,Golden State Warriors,104 - 106
20,13/03/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,97 - 114
20,14/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Oklahoma City Thunder,108 - 106
20,14/03/2019 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,120 - 91
20,14/03/2019 19:30,TD Garden,Boston Celtics,Sacramento Kings,126 - 120
21,14/03/2019 20:00,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,111 - 98
21,14/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,120 - 100
21,14/03/2019 22:30,Pepsi Center,Denver Nuggets,Dallas Mavericks,100 - 99
21,15/03/2019 19:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,111 - 97
21,15/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Sacramento Kings,123 - 114
21,15/03/2019 19:00,Capital One Arena,Washington Wizards,Charlotte Hornets,110 - 116
21,15/03/2019 20:00,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,98 - 113
21,15/03/2019 20:00,Toyota Center,Houston Rockets,Phoenix Suns,108 - 102
21,15/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,110 - 122
21,15/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,New York Knicks,109 - 83
21,15/03/2019 22:30,Staples Center,LA Clippers,Chicago Bulls,128 - 121
21,16/03/2019 12:30,TD Garden,Boston Celtics,Atlanta Hawks,129 - 120
21,16/03/2019 19:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,135 - 128
21,16/03/2019 19:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,136 - 138
21,16/03/2019 20:30,American Airlines Center,Dallas Mavericks,Cleveland Cavaliers,121 - 116
21,16/03/2019 20:30,Chesapeake Energy Arena,Oklahoma City Thunder,Golden State Warriors,88 - 110
21,16/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Portland Trail Blazers,108 - 103
21,16/03/2019 21:00,Pepsi Center,Denver Nuggets,Indiana Pacers,102 - 100
21,16/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Brooklyn Nets,114 - 98
21,17/03/2019 12:00,Madison Square Garden,New York Knicks,Los Angeles Lakers,124 - 123
21,17/03/2019 13:00,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,93 - 75
21,17/03/2019 15:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,125 - 130
21,17/03/2019 16:00,Little Caesars Arena,Detroit Pistons,Toronto Raptors,110 - 107
21,17/03/2019 18:00,Amway Center,Orlando Magic,Atlanta Hawks,101 - 91
21,17/03/2019 18:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,129 - 102
21,17/03/2019 21:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,117 - 102
21,17/03/2019 21:00,Staples Center,LA Clippers,Brooklyn Nets,119 - 116
21,18/03/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Detroit Pistons,126 - 119
21,18/03/2019 19:00,Capital One Arena,Washington Wizards,Utah Jazz,95 - 116
21,18/03/2019 19:30,TD Garden,Boston Celtics,Denver Nuggets,105 - 114
21,18/03/2019 19:30,Scotiabank Arena,Toronto Raptors,New York Knicks,128 - 92
21,18/03/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Miami Heat,107 - 116
21,18/03/2019 20:00,AT+ACY-T Center,San Antonio Spurs,Golden State Warriors,111 - 105
21,18/03/2019 20:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,125 - 129
21,18/03/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Chicago Bulls,101 - 116
21,18/03/2019 22:30,Moda Center,Portland Trail Blazers,Indiana Pacers,106 - 98
21,19/03/2019 19:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,114 - 118
21,19/03/2019 19:30,State Farm Arena,Atlanta Hawks,Houston Rockets,105 - 121
21,19/03/2019 20:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,115 - 101
21,19/03/2019 20:00,Target Center,Minnesota Timberwolves,Golden State Warriors,107 - 117
21,19/03/2019 22:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,121 - 123
21,19/03/2019 22:30,Staples Center,LA Clippers,Indiana Pacers,115 - 109
21,20/03/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Milwaukee Bucks,107 - 102
21,20/03/2019 19:00,Amway Center,Orlando Magic,New Orleans Pelicans,119 - 96
21,20/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,118 - 115
21,20/03/2019 19:30,Madison Square Garden,New York Knicks,Utah Jazz,116 - 137
21,20/03/2019 20:00,United Center,Chicago Bulls,Washington Wizards,126 - 120
21,20/03/2019 20:00,FedExForum,Memphis Grizzlies,Houston Rockets,126 - 125
21,20/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Miami Heat,105 - 110
21,20/03/2019 21:30,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,114 - 123
21,20/03/2019 22:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,126 - 118
21,21/03/2019 19:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,113 - 106
21,21/03/2019 19:00,Capital One Arena,Washington Wizards,Denver Nuggets,108 - 113
21,21/03/2019 19:30,State Farm Arena,Atlanta Hawks,Utah Jazz,117 - 114
22,21/03/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Detroit Pistons,98 - 118
22,21/03/2019 22:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,116 - 100
22,21/03/2019 22:30,ORACLE Arena,Golden State Warriors,Indiana Pacers,112 - 89
22,22/03/2019 19:00,Amway Center,Orlando Magic,Memphis Grizzlies,123 - 119
22,22/03/2019 19:30,Quicken Loans Arena,Cleveland Cavaliers,LA Clippers,108 - 110
22,22/03/2019 19:30,Madison Square Garden,New York Knicks,Denver Nuggets,93 - 111
22,22/03/2019 19:30,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,109 - 116
22,22/03/2019 20:00,Toyota Center,Houston Rockets,San Antonio Spurs,111 - 105
22,22/03/2019 20:30,Fiserv Forum,Milwaukee Bucks,Miami Heat,116 - 87
22,22/03/2019 22:30,Staples Center,Los Angeles Lakers,Brooklyn Nets,106 - 111
22,23/03/2019 18:00,Spectrum Center,Charlotte Hornets,Boston Celtics,124 - 117
22,23/03/2019 19:00,Capital One Arena,Washington Wizards,Miami Heat,108 - 113
22,23/03/2019 19:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,129 - 127
22,23/03/2019 20:00,United Center,Chicago Bulls,Utah Jazz,83 - 114
22,23/03/2019 20:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,99 - 112
22,23/03/2019 20:30,ORACLE Arena,Golden State Warriors,Dallas Mavericks,91 - 126
22,23/03/2019 22:00,Moda Center,Portland Trail Blazers,Detroit Pistons,117 - 112
22,23/03/2019 22:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,112 - 103
22,24/03/2019 12:00,Madison Square Garden,New York Knicks,LA Clippers,113 - 124
22,24/03/2019 16:30,Fiserv Forum,Milwaukee Bucks,Cleveland Cavaliers,127 - 105
22,24/03/2019 17:00,Bankers Life Fieldhouse,Indiana Pacers,Denver Nuggets,124 - 88
22,24/03/2019 18:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,114 - 115
22,24/03/2019 19:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,90 - 113
22,24/03/2019 19:30,TD Garden,Boston Celtics,San Antonio Spurs,96 - 115
22,24/03/2019 20:30,ORACLE Arena,Golden State Warriors,Detroit Pistons,121 - 114
22,24/03/2019 21:30,Staples Center,Los Angeles Lakers,Sacramento Kings,111 - 106
22,25/03/2019 19:00,Amway Center,Orlando Magic,Philadelphia 76ers,119 - 98
22,25/03/2019 20:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,115 - 103
22,25/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Phoenix Suns,125 - 92
22,25/03/2019 22:00,Moda Center,Portland Trail Blazers,Brooklyn Nets,148 - 144
22,26/03/2019 19:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,125 - 116
22,26/03/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Boston Celtics,106 - 116
22,26/03/2019 19:30,AmericanAirlines Arena,Miami Heat,Orlando Magic,99 - 104
22,26/03/2019 19:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,112 - 103
22,26/03/2019 20:00,Fiserv Forum,Milwaukee Bucks,Houston Rockets,108 - 94
22,26/03/2019 20:00,Target Center,Minnesota Timberwolves,LA Clippers,111 - 122
22,26/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,120 - 130
22,26/03/2019 20:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,121 - 125
22,26/03/2019 21:00,Pepsi Center,Denver Nuggets,Detroit Pistons,95 - 92
22,26/03/2019 22:30,Staples Center,Los Angeles Lakers,Washington Wizards,124 - 106
22,27/03/2019 20:00,United Center,Chicago Bulls,Portland Trail Blazers,98 - 118
22,27/03/2019 20:00,FedExForum,Memphis Grizzlies,Golden State Warriors,103 - 118
22,27/03/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Indiana Pacers,107 - 99
22,27/03/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Washington Wizards,121 - 124
22,27/03/2019 22:30,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,115 - 100
22,28/03/2019 19:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,115 - 98
22,28/03/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,123 - 110
22,28/03/2019 19:30,AmericanAirlines Arena,Miami Heat,Dallas Mavericks,105 - 99
22,28/03/2019 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,92 - 117
23,28/03/2019 20:00,Toyota Center,Houston Rockets,Denver Nuggets,112 - 85
23,28/03/2019 20:00,Fiserv Forum,Milwaukee Bucks,LA Clippers,128 - 118
23,28/03/2019 20:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,121 - 118
23,28/03/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Cleveland Cavaliers,116 - 110
23,29/03/2019 19:00,TD Garden,Boston Celtics,Indiana Pacers,114 - 112
23,29/03/2019 19:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,98 - 118
23,29/03/2019 20:00,Target Center,Minnesota Timberwolves,Golden State Warriors,131 - 130
23,29/03/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,105 - 115
23,29/03/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Washington Wizards,128 - 124
23,29/03/2019 22:30,Staples Center,Los Angeles Lakers,Charlotte Hornets,129 - 115
23,30/03/2019 15:30,Staples Center,LA Clippers,Cleveland Cavaliers,132 - 108
23,30/03/2019 18:00,Barclays Center,Brooklyn Nets,Boston Celtics,110 - 96
23,30/03/2019 18:00,Toyota Center,Houston Rockets,Sacramento Kings,119 - 108
23,30/03/2019 19:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,99 - 90
23,30/03/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,116 - 121
23,30/03/2019 19:30,Madison Square Garden,New York Knicks,Miami Heat,92 - 100
23,30/03/2019 20:00,United Center,Chicago Bulls,Toronto Raptors,101 - 124
23,30/03/2019 20:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,109 - 118
23,30/03/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,115 - 120
23,31/03/2019 12:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,136 - 135
23,31/03/2019 15:30,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,103 - 106
23,31/03/2019 18:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,102 - 130
23,31/03/2019 19:00,AT+ACY-T Center,San Antonio Spurs,Sacramento Kings,106 - 113
23,31/03/2019 20:00,Pepsi Center,Denver Nuggets,Washington Wizards,90 - 95
23,31/03/2019 20:30,ORACLE Arena,Golden State Warriors,Charlotte Hornets,137 - 90
23,31/03/2019 22:30,Staples Center,LA Clippers,Memphis Grizzlies,113 - 96
23,01/04/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Detroit Pistons,111 - 102
23,01/04/2019 19:30,TD Garden,Boston Celtics,Miami Heat,110 - 105
23,01/04/2019 19:30,Barclays Center,Brooklyn Nets,Milwaukee Bucks,121 - 131
23,01/04/2019 19:30,Madison Square Garden,New York Knicks,Chicago Bulls,113 - 105
23,01/04/2019 19:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,121 - 109
23,01/04/2019 20:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,122 - 132
23,01/04/2019 20:30,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,122 - 102
23,01/04/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets,111 - 102
23,01/04/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers,122 - 113
23,02/04/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,119 - 103
23,02/04/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Atlanta Hawks,117 - 111
23,02/04/2019 22:00,Golden 1 Center,Sacramento Kings,Houston Rockets,105 - 130
23,02/04/2019 22:30,ORACLE Arena,Golden State Warriors,Denver Nuggets,116 - 102
23,03/04/2019 19:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,89 - 108
23,03/04/2019 19:00,Amway Center,Orlando Magic,New York Knicks,114 - 100
23,03/04/2019 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,114 - 115
23,03/04/2019 19:30,State Farm Arena,Atlanta Hawks,Philadelphia 76ers,130 - 122
23,03/04/2019 19:30,Barclays Center,Brooklyn Nets,Toronto Raptors,105 - 115
23,03/04/2019 19:30,AmericanAirlines Arena,Miami Heat,Boston Celtics,102 - 112
23,03/04/2019 20:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,109 - 115
23,03/04/2019 20:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,108 - 110
23,03/04/2019 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,113 - 85
23,03/04/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,97 - 118
23,03/04/2019 22:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,116 - 89
23,03/04/2019 22:30,Staples Center,LA Clippers,Houston Rockets,103 - 135
24,04/04/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,122 - 128
24,04/04/2019 22:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,117 - 104
24,04/04/2019 22:30,Staples Center,Los Angeles Lakers,Golden State Warriors,90 - 108
24,05/04/2019 19:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,113 - 111
24,05/04/2019 19:00,Amway Center,Orlando Magic,Atlanta Hawks,149 - 113
24,05/04/2019 19:00,Capital One Arena,Washington Wizards,San Antonio Spurs,112 - 129
24,05/04/2019 20:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,97 - 117
24,05/04/2019 20:00,Toyota Center,Houston Rockets,New York Knicks,120 - 96
24,05/04/2019 20:00,Target Center,Minnesota Timberwolves,Miami Heat,111 - 109
24,05/04/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,123 - 110
24,05/04/2019 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,112 - 122
24,05/04/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,119 - 98
24,05/04/2019 22:00,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,133 - 126
24,05/04/2019 22:30,Pepsi Center,Denver Nuggets,Portland Trail Blazers,119 - 110
24,05/04/2019 22:30,ORACLE Arena,Golden State Warriors,Cleveland Cavaliers,120 - 114
24,05/04/2019 22:30,Staples Center,LA Clippers,Los Angeles Lakers,117 - 122
24,06/04/2019 17:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,128 - 133
24,06/04/2019 20:00,United Center,Chicago Bulls,Philadelphia 76ers,96 - 116
24,07/04/2019 12:00,Scotiabank Arena,Toronto Raptors,Miami Heat,117 - 109
24,07/04/2019 15:00,Quicken Loans Arena,Cleveland Cavaliers,San Antonio Spurs,90 - 112
24,07/04/2019 15:30,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,126 - 132
24,07/04/2019 16:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,91 - 104
24,07/04/2019 17:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,96 - 108
24,07/04/2019 18:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,127 - 129
24,07/04/2019 19:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,115 - 107
24,07/04/2019 19:00,Toyota Center,Houston Rockets,Phoenix Suns,149 - 113
24,07/04/2019 19:30,TD Garden,Boston Celtics,Orlando Magic,108 - 116
24,07/04/2019 19:30,Madison Square Garden,New York Knicks,Washington Wizards,113 - 110
24,07/04/2019 20:30,ORACLE Arena,Golden State Warriors,LA Clippers,131 - 104
24,07/04/2019 21:00,Moda Center,Portland Trail Blazers,Denver Nuggets,115 - 108
24,07/04/2019 21:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,129 - 133
24,07/04/2019 21:30,Staples Center,Los Angeles Lakers,Utah Jazz,113 - 109
24,09/04/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Charlotte Hornets,97 - 124
24,09/04/2019 19:00,Little Caesars Arena,Detroit Pistons,Memphis Grizzlies,100 - 93
24,09/04/2019 19:00,Capital One Arena,Washington Wizards,Boston Celtics,110 - 116
24,09/04/2019 19:30,AmericanAirlines Arena,Miami Heat,Philadelphia 76ers,122 - 99
24,09/04/2019 20:00,United Center,Chicago Bulls,New York Knicks,86 - 96
24,09/04/2019 20:00,Target Center,Minnesota Timberwolves,Toronto Raptors,100 - 120
24,09/04/2019 20:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,103 - 112
24,09/04/2019 20:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,120 - 109
24,09/04/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,118 - 108
24,09/04/2019 21:30,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,112 - 111
24,09/04/2019 22:30,Staples Center,Los Angeles Lakers,Portland Trail Blazers,101 - 104
24,10/04/2019 20:00,State Farm Arena,Atlanta Hawks,Indiana Pacers,134 - 135
24,10/04/2019 20:00,Barclays Center,Brooklyn Nets,Miami Heat,113 - 94
24,10/04/2019 20:00,Spectrum Center,Charlotte Hornets,Orlando Magic,114 - 122
24,10/04/2019 20:00,Madison Square Garden,New York Knicks,Detroit Pistons,89 - 115
24,10/04/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,125 - 109
24,10/04/2019 20:00,FedExForum,Memphis Grizzlies,Golden State Warriors,132 - 117
24,10/04/2019 20:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,116 - 127
24,10/04/2019 20:00,AT+ACY-T Center,San Antonio Spurs,Dallas Mavericks,105 - 94
24,10/04/2019 22:30,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,99 - 95
24,10/04/2019 22:30,Staples Center,LA Clippers,Utah Jazz,143 - 137
24,10/04/2019 22:30,Moda Center,Portland Trail Blazers,Sacramento Kings,136 - 131
