week_ending,tickets_written, voids  ,tickets_cashed,mobile_taxable_receipts,retail_taxable_receipts,total_taxable_receipts,privilege_tax,admin_share,state_share
1/5/19,4796300,154935,4376920,54089,210356,264445,26445,3967,22478
1/12/19,4860953,138666,4411529,21356,289402,310758,31076,4661,26414
1/19/19,4167883,75981,3572071,122956,396875,519831,51983,7797,44186
1/26/19,3983320,73280,4202907,6185,-299052,-292867,-29287,-4393,-24894
2/2/19,4622730,93425,3585239,81104,862961,944066,94407,14161,80246
2/9/19,4731513,94134,5367534,25537,-755693,-730156,-73016,-10952,-62063
2/16/19,3948434,53754,3958768,73298,-137385,-64087,-6409,-961,-5447
2/23/19,4132014,54404,3856157,75005,146448,221454,22145,3322,18824
3/2/19,3797635,42463,3011294,140722,603157,743879,74388,11158,63230
3/9/19,3129811,46838,2831468,44559,206947,251505,25151,3773,21378
3/16/19,2858410,70218,2565896,,222296,222296,22230,3334,18895
3/23/19,4418971,91090,3554777,,773104,773104,77310,11597,65714
3/30/19,3443807,67494,3025699,,350615,350615,35061,5259,29802
4/6/19,2385379,68355,2123295,,193729,193729,19373,2906,16467
4/13/19,2683561,67621,2432327,-26737,210349,183613,18361,2754,15607
4/20/19,2658480,58199,2392753,-36129,243657,207528,20753,3113,17640
4/27/19,2607302,49943,2587349,,-29989,-29989,-2999,-450,-2549
5/4/19,2296202,38167,1856748,,401287,401287,40129,6019,34109
5/11/19,2210385,30720,2190474,,-10808,-10808,-1081,-162,-919
5/18/19,2176969,44266,1975717,,156986,156986,15699,2355,13344
5/25/19,1984382,31461,1885233,,67688,67688,6769,1015,5754
6/1/19,2036091,22197,1691982,,321912,321912,32191,4829,27363
6/8/19,2296017,55354,1994871,,245793,245793,24579,3687,20892
6/15/19,2227900,51027,2217837,,-40963,-40963,-4096,-614,-3482
6/22/19,1394107,25521,1342222,,26363,26363,2636,395,2241
6/29/19,1510353,20847,1343147,,146359,146359,14636,2195,12441
7/6/19,1724297,38162,1466694,,219441,219441,21945,3291,18652
7/13/19,1110150,19058,1181917,-2739,-88086,-90825,-9083,-1362,-7720
7/20/19,1814954,40600,1467332,,307022,307022,30702,4605,26097
7/27/19,1615122,31947,1333246,,249929,249929,24993,3749,21244
8/3/19,1913525,64946,1826317,,22262,22262,2226,334,1892
8/10/19,2146221,61098,1890579,,194544,194544,19454,2918,16536
8/17/19,2129799,120452,1635205,,374143,374143,37414,5612,31802
8/24/19,1972582,43530,1644424,,284627,284627,28463,4269,24193
8/31/19,3669138,86896,3733879,25035,648974,674009,67401,10110,57291
9/7/19,4164430,126873,4249038,275453,1388791,1664244,166424,24964,141461
9/14/19,4360438,108211,5616087,250626,467188,717814,71781,10767,61014
9/21/19,3968157,102096,5960078,197999,365653,563652,56365,8455,47910
9/28/19,4062959,79530,5622406,309986,500064,810051,81005,12151,68854
10/5/19,3796242,70405,5267605,453953,818987,1272940,127294,19094,108200
10/12/19,4478463,106603,6294572,406581,947614,1354195,135419,20313,115107
10/19/19,3680379,94887,6082278,364190,214308,578497,57850,8677,49172
10/26/19,4341311,82103,6399568,601782,765826,1367608,136761,20514,116247
11/2/19,4165581,63569,9404206,-571570,-844841,-1416411,-141641,-21246,-120395
11/9/19,4088691,88871,7335286,576236,348871,925107,92511,13877,78634
11/16/19,3725337,79621,6849150,277467,499391,776858,77686,11653,66033
11/23/19,4001612,78006,7288782,241933,-173438,68495,6850,1027,5822
11/30/19,4902465,92563,8867019,205044,313553,518596,51860,7779,44081
12/7/19,4178542,64927,7377058,238026,234287,472313,47231,7085,40147
12/14/19,4079227,95238,7025156,431329,-11341,419988,41999,6300,35699
12/21/19,3890961,96733,6337861,149607,552514,702121,70212,10532,59680
12/28/19,4217858,87576,6934870,263787,464705,728492,72849,10927,61922